nombre,sexo,edad,RUT,correo,universidad,telefono,sector,carrera,año,postulacion,empresa
"Armando Manuel, Calderón Barrios",Hombre,27,19.924.012-5,a.calderón@udec.cl,Universidad de Concepción,+56 9 9827-4407,Ciencias Sociales y Humanidades,Psicología,4,Practicante en Psicología Escolar,Universidad Católica de Chile
"Roberto Leonardo, Villanueva Guzmán",Hombre,19,21.609.825-7,r.villanueva@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 5497-2046,Arte y Diseño,Diseño Gráfico,3,Practicante en Identidad Corporativa,Agencia Young & Rubicam
"César Hernán, Riquelme Fariña",Hombre,18,21.599.230-0,c.riquelme49@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3842-8512,Ciencias de la Salud,Kinesiología,3,Practicante en Terapia Respiratoria,Hospital San Juan de Dios
"Manuel Zenón, Suárez Villanueva",Hombre,26,19.736.033-8,m.suárez32@udec.cl,Universidad de Concepción,+56 9 9848-3794,Ingeniería y Tecnología,Ingeniería Civil Industrial,4,Practicante en Consultoría Empresarial,Google
"Rubén Ignacio, Sáez Lagos",Hombre,20,20.174.240-1,rubén.sáez@udec.cl,Universidad de Concepción,+56 9 7226-4087,Ciencias Sociales y Humanidades,Derecho,4,Practicante en Propiedad Intelectual,Universidad de Santiago de Chile
"Cristina Lourdes, Vargas Reyes",Mujer,27,19.792.871-9,c.vargas22@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0058-3795,Ciencias Naturales,Biología,6,Practicante en Biología Marina,Laboratorio Bayer
"Camila Natalia, Villanueva Bustos",Mujer,29,18.564.353-1,c.villanueva28@puc.cl,Pontificia Universidad Católica de Chile,+56 9 4334-6420,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,7,Practicante en Electrónica de Potencia,Netflix
"Paula Claudia, Romero Hernández",Mujer,23,20.498.607-7,p.romero@puc.cl,Pontificia Universidad Católica de Chile,+56 9 9705-1739,Ciencias de la Salud,Kinesiología,2,Practicante en Neurorehabilitación,Clínica Alemana Norte
"Rafael Antonio, Vergara Gutiérrez",Hombre,18,21.064.285-8,r.vergara25@udec.cl,Universidad de Concepción,+56 9 3354-3312,Ciencias de la Salud,Medicina,1,Practicante en Cirugía,Hospital San Juan de Dios
"Valeria Elisa, Riquelme Peña",Mujer,21,20.810.483-9,v.riquelme89@puc.cl,Pontificia Universidad Católica de Chile,+56 9 2179-4155,Ciencias Sociales y Humanidades,Sociología,4,Practicante en Sociología de la Educación,Universidad de Santiago de Chile
"Adolfo José, Avendaño Garrido",Hombre,19,21.800.483-2,adolfo.avendaño@ug.uchile.cl,Universidad de Chile,+56 9 4011-2178,Ciencias de la Salud,Medicina,2,Practicante en Cardiología,Clínica Alemana
"Osvaldo Mario, Montes Ortiz",Hombre,27,19.429.556-6,osvaldo.m91@udec.cl,Universidad de Concepción,+56 9 9199-6493,Ingeniería y Tecnología,Ingeniería Civil Industrial,4,Practicante en Consultoría Empresarial,IBM
"Natalia Paulina, Lillo López",Mujer,21,20.563.170-9,natalia.lillo@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5027-9018,Ciencias de la Salud,Enfermería,4,Practicante en Atención Primaria,Hospital San Juan de Dios
"Zenón Ximeno, Villalobos Villanueva",Hombre,28,18.127.442-2,zenón.villalobos@usach.cl,Universidad de Santiago de Chile,+56 9 5618-3930,Ciencias de la Salud,Odontología,8,Practicante en Clínica Odontológica,Clínica Alemana
"Rafael Martín, Rivas Oyarzún",Hombre,20,20.450.744-8,r.rivas74@ug.uchile.cl,Universidad de Chile,+56 9 6510-1623,Ciencias de la Salud,Enfermería,4,Practicante en Cirugía,Clínica Indisa
"Claudio Yerko, Suárez Medina",Hombre,30,18.579.259-3,claudio.s99@ug.uchile.cl,Universidad de Chile,+56 9 3510-0307,Ingeniería y Tecnología,Ingeniería Civil en Computación,7,Practicante en Desarrollo de Software,IBM
"Juan Juan, Carrasco Figueroa",Hombre,26,19.535.028-6,j.carrasco90@udec.cl,Universidad de Concepción,+56 9 6601-6558,Ciencias Sociales y Humanidades,Derecho,5,Practicante en Derecho Penal,Banco Itaú
"Ximena Isabel, Riquelme Vásquez",Mujer,19,21.666.495-4,x.riquelme27@usach.cl,Universidad de Santiago de Chile,+56 9 7967-9052,Ciencias Naturales,Biología,3,Practicante en Genética,Laboratorio Roche
"Mario Teobaldo, Jiménez López",Hombre,29,18.080.447-5,mario.j6@ug.uchile.cl,Universidad de Chile,+56 9 9185-8709,Ciencias Sociales y Humanidades,Derecho,6,Practicante en Propiedad Intelectual,Banco Itaú
"Xavier Marco, Silva Campos",Hombre,21,20.521.693-5,x.silva95@udec.cl,Universidad de Concepción,+56 9 2112-0102,Ingeniería y Tecnología,Ingeniería Civil Mecánica,4,Practicante en Robótica,Microsoft
"Nelson Félix, Carrasco Gómez",Hombre,29,18.947.861-5,n.carrasco@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3646-0962,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,7,Practicante en Automatización,Adobe
"Valerie Mónica, Pizarro Donoso",Mujer,23,20.316.440-4,valerie.pizarro@userena.cl,Universidad de La Serena,+56 9 9059-2812,Ciencias Sociales y Humanidades,Derecho,4,Practicante en Derecho Familiar,Universidad Católica de Chile
"Camilo Ernesto, Ortega Escobar",Hombre,30,18.272.987-K,camilo.o2@ug.uchile.cl,Universidad de Chile,+56 9 9042-4849,Ciencias Sociales y Humanidades,Trabajo Social,6,Practicante en Protección de Menores,Banco Santander
"Pascual Dante, Campos Lara",Hombre,26,19.632.074-8,p.campos22@ug.uchile.cl,Universidad de Chile,+56 9 2333-0301,Ingeniería y Tecnología,Ingeniería Civil Mecánica,6,Practicante en Fabricación de Maquinaria,Netflix
"Luis Rafael, Cortés Vargas",Hombre,21,20.623.734-8,l.cortés71@udec.cl,Universidad de Concepción,+56 9 3606-8100,Ciencias Sociales y Humanidades,Psicología,4,Practicante en Neuropsicología,Banco Itaú
"Franco Guillermo, Pizarro Díaz",Hombre,28,18.143.384-4,f.pizarro38@udp.cl,Universidad Diego Portales,+56 9 9358-0599,Arte y Diseño,Diseño Gráfico,8,Practicante en Ilustración Digital,Agencia JWT
"Eugenia Ximena, Fernández Morales",Mujer,22,20.849.437-3,eugenia.f96@ug.uchile.cl,Universidad de Chile,+56 9 1796-6453,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,4,Practicante en Sistemas de Control,Netflix
"Felipe Osvaldo, Suárez Vergara",Hombre,26,19.601.166-K,felipe.suárez@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 6083-3619,Ciencias Sociales y Humanidades,Sociología,4,Practicante en Demografía,Universidad de Chile
"César Carlos, Cuevas Lara",Hombre,23,20.119.674-4,césar.c40@userena.cl,Universidad de La Serena,+56 9 7398-2878,Ciencias de la Salud,Kinesiología,3,Practicante en Neurorehabilitación,Clínica Las Condes
"Natalia Ximena, Carrasco Ríos",Mujer,23,20.031.076-2,natalia.c56@usach.cl,Universidad de Santiago de Chile,+56 9 7396-4097,Ciencias Sociales y Humanidades,Psicología,2,Practicante en Psicología Forense,Banco BCI
"Magdalena Renata, Ríos Cáceres",Mujer,20,20.769.045-1,m.ríos@puc.cl,Pontificia Universidad Católica de Chile,+56 9 9685-3027,Ingeniería y Tecnología,Ingeniería Civil Industrial,4,Practicante en Calidad,Microsoft
"Raúl Armando, Moreno Soto",Hombre,25,19.062.759-5,raúl.moreno@udec.cl,Universidad de Concepción,+56 9 3225-1062,Ingeniería y Tecnología,Ingeniería Civil Industrial,4,Practicante en Gestión de Proyectos,Netflix
"Alberto Eduardo, Aguilera Avendaño",Hombre,28,18.232.772-K,alberto.a28@ug.uchile.cl,Universidad de Chile,+56 9 2726-1018,Arte y Diseño,Diseño Gráfico,6,Practicante en Ilustración Digital,Agencia JWT
"Feliciano Víctor, Cortés Carrasco",Hombre,21,20.868.357-0,feliciano.c15@udp.cl,Universidad Diego Portales,+56 9 7958-3297,Ciencias Sociales y Humanidades,Sociología,3,Practicante en Sociología Urbana,Banco Estado
"Francisco Adolfo, Vergara Bravo",Hombre,23,20.526.013-7,f.vergara@puc.cl,Pontificia Universidad Católica de Chile,+56 9 1070-1448,Arte y Diseño,Arquitectura,3,Practicante en Restauración Patrimonial,Agencia BBDO
"José Hugo, Valenzuela Avendaño",Hombre,23,20.622.059-4,j.valenzuela21@udec.cl,Universidad de Concepción,+56 9 0012-5310,Ciencias de la Salud,Odontología,4,Practicante en Odontopediatría,Clínica Los Coihues
"Clemente Jorge, Santos Escobar",Hombre,18,21.180.297-8,clemente.santos@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5258-6417,Ciencias de la Salud,Enfermería,2,Practicante en Cirugía,Clínica Los Coihues
"Ximena Ana, Flores Quinteros",Mujer,24,19.550.862-6,x.flores@userena.cl,Universidad de La Serena,+56 9 0211-4991,Ciencias Sociales y Humanidades,Sociología,4,Practicante en Sociología de la Educación,Banco de Chile
"José Benjamín, Lillo Reyes",Hombre,19,21.343.987-7,j.lillo91@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0002-8919,Ciencias de la Salud,Enfermería,1,Practicante en Cirugía,Clínica Santa María
"Beatriz Sara, Silva Sepúlveda",Mujer,23,20.504.551-9,b.silva89@ug.uchile.cl,Universidad de Chile,+56 9 2723-7068,Ingeniería y Tecnología,Ingeniería Civil en Computación,2,Practicante en Internet de las Cosas,Amazon
"Diego Patricio, Ramírez Avendaño",Hombre,26,19.988.557-0,diego.ramírez@uai.cl,Universidad Adolfo Ibáñez,+56 9 5834-2208,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,4,Practicante en Redes Eléctricas,SpaceX
"Hugo Homero, Figueroa Valenzuela",Hombre,18,21.946.061-8,hugo.f39@ug.uchile.cl,Universidad de Chile,+56 9 4822-4147,Ciencias Naturales,Física,2,Practicante en Óptica y Fotónica,Laboratorio Chile
"Adolfo Pascual, Muñoz Quinteros",Hombre,25,19.927.485-2,a.muñoz83@udp.cl,Universidad Diego Portales,+56 9 7964-5935,Ciencias de la Salud,Odontología,6,Practicante en Odontopediatría,Clínica Santa María
"Gaspar Kelvin, Martínez Vidal",Hombre,20,20.236.170-6,g.martínez12@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 3750-0184,Ciencias de la Salud,Medicina,3,Practicante en Pediatría,Clínica Los Coihues
"Raúl Yerko, Sepúlveda Peña",Hombre,29,18.105.171-1,raúl.s18@ug.uchile.cl,Universidad de Chile,+56 9 1078-2209,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,6,Practicante en Energía Renovable,Tesla
"Joaquín Kelvin, Tapia Valenzuela",Hombre,22,20.547.737-7,j.tapia@uv.cl,Universidad de Valparaíso,+56 9 6656-8262,Ingeniería y Tecnología,Ingeniería Civil Mecánica,2,Practicante en Energías Renovables,Facebook
"Zenón Tobías, Carvajal Palma",Hombre,24,19.504.233-8,zenón.c44@uv.cl,Universidad de Valparaíso,+56 9 8978-3781,Ciencias Sociales y Humanidades,Trabajo Social,5,Practicante en Protección de Menores,Banco de Chile
"Patricia Carmen, Mendoza Araya",Mujer,20,20.518.591-5,p.mendoza54@uv.cl,Universidad de Valparaíso,+56 9 8126-8669,Ingeniería y Tecnología,Ingeniería Civil Industrial,3,Practicante en Optimización de Procesos,Google
"Elias Camilo, Pizarro Cortés",Hombre,18,21.855.093-9,e.pizarro@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8818-3019,Ciencias de la Salud,Odontología,1,Practicante en Odontopediatría,Clínica Alemana
"Vanessa Laura, Escobar Garrido",Mujer,28,18.563.139-7,v.escobar67@usach.cl,Universidad de Santiago de Chile,+56 9 7920-9230,Ciencias Sociales y Humanidades,Psicología,8,Practicante en Psicoterapia,Universidad Católica de Chile
"María Romina, Osorio Cisternas",Mujer,24,19.534.678-K,m.osorio83@ua.cl,Universidad Austral de Chile,+56 9 3316-2820,Ciencias Sociales y Humanidades,Sociología,6,Practicante en Sociología de la Educación,Banco Estado
"Fernando Urbano, Ávila Campos",Hombre,30,18.567.215-8,f.ávila@udp.cl,Universidad Diego Portales,+56 9 4769-9123,Arte y Diseño,Diseño Gráfico,8,Practicante en Identidad Corporativa,Agencia Saatchi & Saatchi
"Jorge Valentín, Lagos Bravo",Hombre,21,20.768.637-8,jorge.lagos@ug.uchile.cl,Universidad de Chile,+56 9 8892-7552,Ciencias de la Salud,Kinesiología,3,Practicante en Rehabilitación Deportiva,Hospital San Juan de Dios
"Ximeno Antonio, Carvajal Díaz",Hombre,29,18.106.837-7,ximeno.carvajal@udec.cl,Universidad de Concepción,+56 9 9085-9926,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,6,Practicante en Automatización,Facebook
"Rafael Camilo, Hernández Leiva",Hombre,26,19.211.380-9,r.hernández@puc.cl,Pontificia Universidad Católica de Chile,+56 9 2528-4228,Ingeniería y Tecnología,Ingeniería Civil Industrial,4,Practicante en Gestión de Proyectos,Tesla
"Quintín Pascual, Morales Hernández",Hombre,27,19.693.137-5,q.morales12@usach.cl,Universidad de Santiago de Chile,+56 9 3352-7898,Ciencias Naturales,Química,6,Practicante en Farmacología,Laboratorio Andrómaco
"César Jacinto, Garrido Ortega",Hombre,25,19.356.419-0,c.garrido@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3329-2177,Arte y Diseño,Arte Digital,6,Practicante en Animación y Modelado 3D,Agencia Young & Rubicam
"Javier Zaqueo, Valencia Castro",Hombre,23,20.643.465-8,j.valencia56@ug.uchile.cl,Universidad de Chile,+56 9 9129-0944,Arte y Diseño,Arquitectura,3,Practicante en Urbanismo,Agencia Saatchi & Saatchi
"Violeta Teresa, Figueroa Morales",Mujer,30,18.278.114-9,violeta.figueroa@ug.uchile.cl,Universidad de Chile,+56 9 0138-0501,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,7,Practicante en Sistemas de Control,Amazon
"Pamela Delfina, Cisternas Campos",Mujer,24,19.795.621-7,pamela.cisternas@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8997-3285,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,6,Practicante en Redes Eléctricas,Cisco
"Adriana Wendy, Cádiz López",Mujer,18,21.137.755-1,adriana.cádiz@ua.cl,Universidad Austral de Chile,+56 9 0995-9681,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,1,Practicante en Sistemas de Control,Facebook
"Ivonne Valentina, Aguilera Fuentes",Mujer,21,20.122.668-1,ivonne.a64@ug.uchile.cl,Universidad de Chile,+56 9 9501-7297,Ciencias de la Salud,Enfermería,3,Practicante en Geriatría,Clínica Santa María
"Alejandra Eugenia, Romero Cádiz",Mujer,30,18.983.125-K,alejandra.romero@ua.cl,Universidad Austral de Chile,+56 9 0159-6751,Ingeniería y Tecnología,Ingeniería Civil Industrial,8,Practicante en Calidad,Facebook
"Marcelo Luis, Cádiz Herrera",Hombre,19,21.992.708-9,marcelo.cádiz@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 7898-6425,Ciencias Naturales,Geología,1,Practicante en Mineralogía,Laboratorio Chile
"Emilio Miguel, Vásquez Valencia",Hombre,23,20.186.364-1,e.vásquez@udec.cl,Universidad de Concepción,+56 9 6841-6575,Arte y Diseño,Arquitectura,3,Practicante en Restauración Patrimonial,Agencia Young & Rubicam
"Raquel Pía, Montes Lillo",Mujer,26,19.285.957-8,r.montes@puc.cl,Pontificia Universidad Católica de Chile,+56 9 9792-5057,Ciencias Sociales y Humanidades,Derecho,4,Practicante en Derecho Penal,Banco Itaú
"Eduardo Nicolás, Quinteros Aravena",Hombre,21,20.874.380-2,eduardo.quinteros@udp.cl,Universidad Diego Portales,+56 9 9064-8174,Ingeniería y Tecnología,Ingeniería Civil en Computación,3,Practicante en Redes,Amazon
"Valentina María, Arancibia Osorio",Mujer,29,18.558.465-K,v.arancibia36@puc.cl,Pontificia Universidad Católica de Chile,+56 9 6101-8787,Ciencias Naturales,Física,8,Practicante en Astrofísica,Laboratorio Bayer
"Ernesto Daniel, Campos Martínez",Hombre,30,18.426.774-6,e.campos56@ug.uchile.cl,Universidad de Chile,+56 9 7735-6144,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,6,Practicante en Redes Eléctricas,Cisco
"Adolfo Elias, Lara Cabrera",Hombre,29,18.836.191-4,adolfo.lara@ug.uchile.cl,Universidad de Chile,+56 9 9872-7613,Ingeniería y Tecnología,Ingeniería Civil Mecánica,6,Practicante en Mecánica de Fluidos,Microsoft
"Rodrigo Francisco, Vidal Silva",Hombre,22,20.242.678-8,rodrigo.vidal@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3040-0318,Ciencias Sociales y Humanidades,Derecho,3,Practicante en Derecho Familiar,Universidad Católica de Chile
"Rodrigo Sebastián, Rodríguez Orellana",Hombre,19,21.479.281-3,rodrigo.r27@udp.cl,Universidad Diego Portales,+56 9 0291-2778,Ingeniería y Tecnología,Ingeniería Civil en Computación,1,Practicante en Internet de las Cosas,Intel
"Gaspar Maximiliano, Sáez Leiva",Hombre,29,18.953.340-2,g.sáez@ug.uchile.cl,Universidad de Chile,+56 9 4988-7747,Ciencias de la Salud,Odontología,8,Practicante en Clínica Odontológica,Clínica Alemana
"Renata Claudia, Venegas Ortega",Mujer,21,20.400.896-9,renata.venegas@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 4745-1120,Ingeniería y Tecnología,Ingeniería Civil en Computación,4,Practicante en Ciberseguridad,SpaceX
"Raúl Diego, Riquelme Cortés",Hombre,22,20.294.063-6,r.riquelme@udp.cl,Universidad Diego Portales,+56 9 4759-8012,Ingeniería y Tecnología,Ingeniería Civil Mecánica,4,Practicante en Fabricación de Maquinaria,Adobe
"Susana Wendy, Jiménez Quinteros",Mujer,20,20.615.006-3,s.jiménez@ug.uchile.cl,Universidad de Chile,+56 9 2117-9985,Arte y Diseño,Arquitectura,2,Practicante en Urbanismo,Agencia DDB
"Emiliana Ximena, Bravo Pérez",Mujer,22,20.438.568-8,emiliana.b96@uv.cl,Universidad de Valparaíso,+56 9 0148-3626,Ciencias Sociales y Humanidades,Derecho,4,Practicante en Derechos Humanos,Universidad de Santiago de Chile
"Waldo Adolfo, Morales Rojas",Hombre,28,18.476.231-2,w.morales40@udec.cl,Universidad de Concepción,+56 9 7215-6467,Ingeniería y Tecnología,Ingeniería Civil en Computación,6,Practicante en Desarrollo de Software,Amazon
"Claudio Leonardo, Donoso Vergara",Hombre,24,19.100.475-9,c.donoso69@ug.uchile.cl,Universidad de Chile,+56 9 0807-3442,Arte y Diseño,Arquitectura,4,Practicante en Arquitectura Sostenible,Agencia DDB
"Flavio Flavio, González Leiva",Hombre,21,20.675.068-8,flavio.g55@usach.cl,Universidad de Santiago de Chile,+56 9 9518-9383,Arte y Diseño,Arquitectura,3,Practicante en Restauración Patrimonial,Agencia Young & Rubicam
"Rubén José, Sáez Moreno",Hombre,28,18.863.231-0,r.sáez38@puc.cl,Pontificia Universidad Católica de Chile,+56 9 1954-2698,Ciencias Naturales,Física,8,Practicante en Física Nuclear,Laboratorio Chile
"Ignacia Paula, Calderón Hernández",Mujer,23,20.101.612-9,ignacia.c40@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5809-7149,Ingeniería y Tecnología,Ingeniería Civil,4,Practicante en Obras Civiles,Facebook
"Elias Simón, Vásquez Gómez",Hombre,26,19.346.078-9,e.vásquez56@ug.uchile.cl,Universidad de Chile,+56 9 1840-8551,Ingeniería y Tecnología,Ingeniería Civil,5,Practicante en Geotecnia,Apple
"Quintín Hugo, Vásquez Silva",Hombre,25,19.565.213-0,quintín.vásquez@usach.cl,Universidad de Santiago de Chile,+56 9 1633-6635,Ciencias Sociales y Humanidades,Derecho,4,Practicante en Propiedad Intelectual,Universidad de Chile
"Leandro Homero, Torres Rodríguez",Hombre,23,20.973.131-2,leandro.torres@ug.uchile.cl,Universidad de Chile,+56 9 4927-0754,Ingeniería y Tecnología,Ingeniería Civil Mecánica,4,Practicante en Mecánica de Fluidos,IBM
"Emilio Ulises, Carvajal Baeza",Hombre,25,19.682.950-K,emilio.c90@ug.uchile.cl,Universidad de Chile,+56 9 8611-1899,Ingeniería y Tecnología,Ingeniería Civil Industrial,5,Practicante en Calidad,Cisco
"Valentina Ingrid, Carrasco Martínez",Mujer,19,21.466.687-8,valentina.carrasco@userena.cl,Universidad de La Serena,+56 9 4855-7830,Ingeniería y Tecnología,Ingeniería Civil Industrial,1,Practicante en Consultoría Empresarial,Oracle
"Kelvin Nelson, Contreras Morales",Hombre,29,18.430.491-8,kelvin.contreras@udec.cl,Universidad de Concepción,+56 9 3667-7254,Ciencias Sociales y Humanidades,Sociología,6,Practicante en Investigación Social,Universidad de Santiago de Chile
"César Miguel, Poblete Suárez",Hombre,19,21.272.089-6,césar.p52@udec.cl,Universidad de Concepción,+56 9 6885-4105,Ciencias Sociales y Humanidades,Derecho,3,Practicante en Derechos Humanos,Banco Estado
"Pablo Mauricio, González Bustos",Hombre,21,20.158.266-5,p.gonzález67@userena.cl,Universidad de La Serena,+56 9 5220-8792,Ciencias de la Salud,Kinesiología,2,Practicante en Kinesiología Pediátrica,Clínica Alemana
"Mireya Javiera, Fuentes Morales",Mujer,29,18.875.790-7,mireya.f7@udec.cl,Universidad de Concepción,+56 9 2301-7178,Ingeniería y Tecnología,Ingeniería Civil,6,Practicante en Vías y Transporte,IBM
"Joaquín Luciano, Orellana Pizarro",Hombre,30,18.489.996-5,j.orellana84@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5423-5253,Ciencias Sociales y Humanidades,Trabajo Social,8,Practicante en Protección de Menores,Banco Itaú
"Martín Iván, Valenzuela Donoso",Hombre,29,18.834.410-4,martín.v96@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 8617-4635,Ingeniería y Tecnología,Ingeniería Civil en Computación,8,Practicante en Ciberseguridad,Netflix
"Ulises Gonzalo, Cádiz Cádiz",Hombre,20,20.812.477-1,u.cádiz50@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3288-5833,Ingeniería y Tecnología,Ingeniería Civil,2,Practicante en Hidrología,Tesla
"Ramón Pablo, Aguilera Mora",Hombre,28,18.422.049-0,r.aguilera38@uv.cl,Universidad de Valparaíso,+56 9 0266-6268,Ciencias de la Salud,Medicina,7,Practicante en Medicina General,Clínica Alemana Norte
"Víctor Ulises, Osorio Lillo",Hombre,20,20.098.903-0,v.osorio@udec.cl,Universidad de Concepción,+56 9 7886-7233,Ciencias Sociales y Humanidades,Derecho,3,Practicante en Derecho Corporativo,Universidad Católica de Chile
"Diana Adriana, Aravena Cabrera",Mujer,21,20.264.251-1,d.aravena71@uai.cl,Universidad Adolfo Ibáñez,+56 9 0952-5650,Arte y Diseño,Arquitectura,2,Practicante en Urbanismo,Agencia Saatchi & Saatchi
"Gaspar Hugo, Ortega Pizarro",Hombre,19,21.038.719-1,gaspar.o74@ug.uchile.cl,Universidad de Chile,+56 9 5569-1197,Ciencias Sociales y Humanidades,Derecho,3,Practicante en Derechos Humanos,Banco Estado
"Sebastián Clemente, Martínez Aguilera",Hombre,30,18.728.249-8,sebastián.martínez@ua.cl,Universidad Austral de Chile,+56 9 4293-4893,Ingeniería y Tecnología,Ingeniería Civil,7,Practicante en Obras Civiles,Apple
"Eugenio Carlos, Gutiérrez Palma",Hombre,25,19.837.509-6,e.gutiérrez@udec.cl,Universidad de Concepción,+56 9 4423-1483,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,5,Practicante en Electrónica de Potencia,Tesla
"Félix Maximiliano, Baeza Poblete",Hombre,22,20.343.730-5,f.baeza47@ug.uchile.cl,Universidad de Chile,+56 9 8852-2884,Ingeniería y Tecnología,Ingeniería Civil Industrial,4,Practicante en Calidad,Netflix
"Pía Teresa, Reyes Campos",Mujer,30,18.243.126-K,p.reyes7@uv.cl,Universidad de Valparaíso,+56 9 0010-8355,Arte y Diseño,Arte Digital,6,Practicante en Arte Digital para Publicidad,Agencia Leo Burnett
"Adolfo Diego, Suárez Reyes",Hombre,23,20.820.623-3,a.suárez0@ug.uchile.cl,Universidad de Chile,+56 9 7650-7551,Arte y Diseño,Arquitectura,2,Practicante en Arquitectura Sostenible,Agencia Saatchi & Saatchi
"Raúl Salvador, Cuevas Valenzuela",Hombre,21,20.751.917-2,raúl.c95@uai.cl,Universidad Adolfo Ibáñez,+56 9 2684-5232,Arte y Diseño,Diseño Gráfico,2,Practicante en Diseño Editorial,Agencia BBDO
"Emilia Ximena, Bravo Campos",Mujer,28,18.687.978-9,emilia.b13@puc.cl,Pontificia Universidad Católica de Chile,+56 9 7610-1733,Ingeniería y Tecnología,Ingeniería Civil,6,Practicante en Obras Civiles,SpaceX
