nombre,sexo,edad,RUT,correo,universidad,telefono,sector,carrera,año
"Julio Jacinto, Riquelme Osorio",M,20,20.721.360-9,julio.riquelme@puc.cl,Pontificia Universidad Católica de Chile,+56 9 9155-7593,Ingeniería y Tecnología,Ingeniería Civil Industrial,3
"Ximeno Fernando, Vergara Fernández",M,25,19.102.037-7,ximeno.vergara@ug.uchile.cl,Universidad de Chile,+56 9 5387-2060,Ingeniería y Tecnología,Ingeniería Civil Industrial,6
"Felipe Dante, Pérez Valenzuela",M,21,20.243.933-7,felipe.p31@ug.uchile.cl,Universidad de Chile,+56 9 3886-0943,Ciencias de la Salud,Medicina,4
"Maximiliano Elias, Vargas Lagos",M,26,19.384.397-4,maximiliano.v95@uai.cl,Universidad Adolfo Ibáñez,+56 9 2028-6270,Ingeniería y Tecnología,Ingeniería Civil Industrial,5
"Elena Lourdes, Araya Mendoza",F,19,21.360.681-7,e.araya@puc.cl,Pontificia Universidad Católica de Chile,+56 9 1230-2944,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,1
"Teobaldo Kelvin, Jiménez Pizarro",M,24,19.819.209-1,t.jiménez85@userena.cl,Universidad de La Serena,+56 9 1991-2802,Ingeniería y Tecnología,Ingeniería Civil Industrial,4
"Ramón Pablo, Guzmán Guzmán",M,21,20.367.016-2,r.guzmán3@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8904-9306,Ciencias Naturales,Geología,2
"Benjamín Teobaldo, Álvarez Avendaño",M,25,19.368.420-1,benjamín.á38@uv.cl,Universidad de Valparaíso,+56 9 5762-3773,Arte y Diseño,Diseño Gráfico,5
"Joaquín Guillermo, Poblete Pérez",M,25,19.751.471-K,j.poblete@puc.cl,Pontificia Universidad Católica de Chile,+56 9 1428-0774,Ciencias de la Salud,Odontología,4
"Juan Eduardo, Figueroa Ortiz",M,19,21.491.076-2,juan.figueroa@ug.uchile.cl,Universidad de Chile,+56 9 5225-6209,Ciencias Naturales,Química,2
"Lorena Carolina, Gómez Garrido",F,29,18.001.972-K,lorena.gómez@uai.cl,Universidad Adolfo Ibáñez,+56 9 7840-2080,Ciencias Naturales,Geología,8
"Ignacio Elias, Ibarra Ortiz",M,29,18.937.881-8,ignacio.i85@udec.cl,Universidad de Concepción,+56 9 4936-2248,Ciencias de la Salud,Kinesiología,8
"Yolanda Valentina, Pérez Ibarra",F,22,20.823.124-2,y.pérez@udp.cl,Universidad Diego Portales,+56 9 0774-5676,Ciencias Sociales y Humanidades,Psicología,3
"Nemesio Víctor, Medina Vidal",M,29,18.701.146-K,n.medina75@udec.cl,Universidad de Concepción,+56 9 0198-0487,Ingeniería y Tecnología,Ingeniería Civil,7
"Gaspar Clemente, Valencia Ávila",M,21,20.711.975-K,gaspar.v94@udec.cl,Universidad de Concepción,+56 9 7540-8997,Arte y Diseño,Diseño Gráfico,4
"Marisol Celia, Romero Escobar",F,21,20.896.563-5,m.romero89@ug.uchile.cl,Universidad de Chile,+56 9 7455-0036,Ciencias Naturales,Geología,2
"Emiliana Mónica, Barrios Ortiz",F,23,20.448.608-7,e.barrios47@ug.uchile.cl,Universidad de Chile,+56 9 7486-5765,Ciencias de la Salud,Kinesiología,2
"Tobías Leandro, Ramírez Jiménez",M,22,20.220.622-K,t.ramírez72@udec.cl,Universidad de Concepción,+56 9 4915-4629,Ciencias de la Salud,Kinesiología,2
"Maximiliano Urbano, Cortés López",M,28,18.855.751-1,maximiliano.cortés@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 5143-9458,Ingeniería y Tecnología,Ingeniería Civil en Computación,7
"Pablo Simón, Avendaño López",M,28,18.442.646-6,pablo.a87@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3438-4364,Ingeniería y Tecnología,Ingeniería Civil Industrial,8
"José Zenón, Rojas Ramírez",M,20,20.018.207-5,j.rojas@uai.cl,Universidad Adolfo Ibáñez,+56 9 2473-2836,Ciencias Sociales y Humanidades,Psicología,4
"Antonio Emilio, Soto Carrasco",M,25,19.187.728-7,a.soto57@ua.cl,Universidad Austral de Chile,+56 9 0118-8180,Ciencias de la Salud,Odontología,4
"Valeria Francisca, Oyarzún Lagos",F,26,19.150.937-3,valeria.o56@udec.cl,Universidad de Concepción,+56 9 5192-9600,Ciencias Sociales y Humanidades,Sociología,6
"Rosa Sara, Díaz Catalán",F,19,21.819.442-0,r.díaz@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 5756-2248,Ciencias de la Salud,Odontología,1
"René Félix, Cisternas Vargas",M,27,19.402.145-8,r.cisternas@ug.uchile.cl,Universidad de Chile,+56 9 2044-1372,Ciencias Sociales y Humanidades,Trabajo Social,5
"Mario Cristián, Cáceres Montes",M,27,19.291.234-0,m.cáceres@puc.cl,Pontificia Universidad Católica de Chile,+56 9 9594-3193,Ciencias Naturales,Geología,5
"Hugo Waldo, Herrera Cisternas",M,21,20.056.443-6,hugo.herrera@udec.cl,Universidad de Concepción,+56 9 0269-3301,Ingeniería y Tecnología,Ingeniería Civil en Computación,3
"Alberto Federico, Ramírez Díaz",M,19,21.397.770-7,alberto.r35@udec.cl,Universidad de Concepción,+56 9 5121-8697,Ingeniería y Tecnología,Ingeniería Civil Mecánica,3
"Carlos Kelvin, Donoso Peña",M,21,20.613.511-9,c.donoso81@udec.cl,Universidad de Concepción,+56 9 3828-0019,Ciencias Naturales,Física,2
"Elena Eva, Barrios Hernández",F,26,19.738.906-3,elena.b42@ug.uchile.cl,Universidad de Chile,+56 9 9003-2249,Ingeniería y Tecnología,Ingeniería Civil Industrial,6
"Isabella Rocio, Morales González",F,21,20.649.872-K,i.morales72@ug.uchile.cl,Universidad de Chile,+56 9 3623-3871,Ciencias Naturales,Química,3
"Renato Leandro, Rivas Peña",M,27,19.706.973-3,r.rivas76@ug.uchile.cl,Universidad de Chile,+56 9 8585-4293,Ingeniería y Tecnología,Ingeniería Civil Industrial,5
"Nelson Marcelo, Ibarra Toledo",M,29,18.461.448-8,nelson.i30@udp.cl,Universidad Diego Portales,+56 9 4888-4068,Ingeniería y Tecnología,Ingeniería Civil Mecánica,6
"Verónica Francisca, Morales Montes",F,24,19.846.314-8,verónica.m46@puc.cl,Pontificia Universidad Católica de Chile,+56 9 6500-5450,Ingeniería y Tecnología,Ingeniería Civil Mecánica,6
"Francisca Bárbara, Silva Flores",F,23,20.514.915-5,f.silva@udec.cl,Universidad de Concepción,+56 9 5581-6453,Ingeniería y Tecnología,Ingeniería Civil,2
"Mauricio Renato, Villanueva Valenzuela",M,29,18.079.940-9,m.villanueva10@ug.uchile.cl,Universidad de Chile,+56 9 6051-0088,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,6
"Sara Rosa, Lara Herrera",F,22,20.238.916-9,s.lara45@udec.cl,Universidad de Concepción,+56 9 6626-9284,Ingeniería y Tecnología,Ingeniería Civil Industrial,3
"Benjamín Leandro, Ávila Fariña",M,24,19.273.188-4,b.ávila91@userena.cl,Universidad de La Serena,+56 9 4020-8940,Ciencias de la Salud,Medicina,4
"Mónica Claudia, Rodríguez Sáez",F,28,18.610.345-2,m.rodríguez@udec.cl,Universidad de Concepción,+56 9 5097-5915,Ingeniería y Tecnología,Ingeniería Civil Mecánica,6
"Paulina Lucía, Lagos Lagos",F,23,20.282.350-4,p.lagos78@ug.uchile.cl,Universidad de Chile,+56 9 2710-7648,Ciencias de la Salud,Medicina,3
"René Gaspar, Muñoz Valdés",M,20,20.366.766-5,rené.muñoz@uai.cl,Universidad Adolfo Ibáñez,+56 9 5643-4676,Ciencias de la Salud,Medicina,2
"Mónica Andrea, Álvarez Araya",F,24,19.702.358-4,m.álvarez32@usach.cl,Universidad de Santiago de Chile,+56 9 5095-9011,Ciencias Sociales y Humanidades,Trabajo Social,5
"Vanessa Adriana, Aravena Fuentes",F,26,19.961.182-7,v.aravena85@puc.cl,Pontificia Universidad Católica de Chile,+56 9 2978-5544,Ingeniería y Tecnología,Ingeniería Civil Mecánica,6
"Ernesto Ulises, Quinteros González",M,23,20.141.008-2,e.quinteros@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8745-0613,Ciencias de la Salud,Kinesiología,3
"Gaspar Antonio, Díaz López",M,20,20.678.465-9,gaspar.díaz@ug.uchile.cl,Universidad de Chile,+56 9 9054-7726,Ciencias Naturales,Física,3
"Pascual Zenón, Cuevas Flores",M,21,20.103.722-0,p.cuevas78@ug.uchile.cl,Universidad de Chile,+56 9 1597-7470,Arte y Diseño,Arquitectura,3
"Magdalena Ivonne, Ramírez Flores",F,26,19.867.216-1,m.ramírez75@puc.cl,Pontificia Universidad Católica de Chile,+56 9 2946-8948,Ciencias Naturales,Biología,6
"Salvador Maximiliano, Montes Núñez",M,19,21.971.400-6,s.montes90@uai.cl,Universidad Adolfo Ibáñez,+56 9 4774-5079,Ciencias Sociales y Humanidades,Trabajo Social,2
"Luis Miguel, Ávila Villalobos",M,26,19.761.238-6,luis.ávila@ug.uchile.cl,Universidad de Chile,+56 9 0540-3717,Ciencias Sociales y Humanidades,Derecho,4
"Ernesto Félix, Orellana Ovalle",M,24,19.187.224-7,e.orellana@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 9322-3907,Ingeniería y Tecnología,Ingeniería Civil Mecánica,4
"Julieta Javiera, Ortiz Ramírez",F,24,19.434.313-7,julieta.o39@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3292-5117,Ingeniería y Tecnología,Ingeniería Civil en Computación,5
"Alberto Guillermo, Barrios Montes",M,21,20.968.577-3,a.barrios88@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 0962-3594,Ingeniería y Tecnología,Ingeniería Civil,4
"Magdalena María, Castro Gutiérrez",F,22,20.345.357-9,magdalena.c36@udec.cl,Universidad de Concepción,+56 9 6106-1508,Ingeniería y Tecnología,Ingeniería Civil Industrial,3
"Teobaldo Pedro, Morales Cortés",M,25,19.266.524-4,t.morales56@uv.cl,Universidad de Valparaíso,+56 9 6756-5683,Ciencias Sociales y Humanidades,Derecho,4
"Renata Sofía, Palma Suárez",F,28,18.722.454-0,r.palma52@ug.uchile.cl,Universidad de Chile,+56 9 2800-6062,Ciencias Sociales y Humanidades,Psicología,7
"Álvaro Diego, Lillo Díaz",M,21,20.825.133-4,á.lillo@ug.uchile.cl,Universidad de Chile,+56 9 2266-8859,Arte y Diseño,Arquitectura,2
"Ingrid Wendy, Gutiérrez Romero",F,27,19.821.187-2,i.gutiérrez@udp.cl,Universidad Diego Portales,+56 9 8224-1634,Ingeniería y Tecnología,Ingeniería Civil Mecánica,5
"Ernesto Roberto, Cáceres Santos",M,27,19.778.148-2,e.cáceres@ug.uchile.cl,Universidad de Chile,+56 9 2552-6852,Ciencias Naturales,Geología,6
"Alberto Valentín, Donoso Aguilera",M,18,21.204.264-2,a.donoso46@uai.cl,Universidad Adolfo Ibáñez,+56 9 2913-4228,Ciencias de la Salud,Kinesiología,1
"Iván Simón, Carvajal Cáceres",M,30,18.434.484-6,i.carvajal@uv.cl,Universidad de Valparaíso,+56 9 6013-1734,Ciencias de la Salud,Kinesiología,7
"Emilio René, Poblete Carrasco",M,28,18.275.419-5,e.poblete97@ug.uchile.cl,Universidad de Chile,+56 9 0446-2428,Ciencias Sociales y Humanidades,Derecho,7
"Xavier Francisco, Salazar Medina",M,25,19.326.465-K,xavier.s8@userena.cl,Universidad de La Serena,+56 9 7044-6373,Ciencias Sociales y Humanidades,Psicología,5
"Osvaldo Manuel, Sanchez Aguilera",M,18,21.772.106-9,o.sanchez@ug.uchile.cl,Universidad de Chile,+56 9 3370-7327,Ciencias de la Salud,Kinesiología,1
"Natalia Elisa, Venegas Vásquez",F,23,20.253.595-2,n.venegas@ug.uchile.cl,Universidad de Chile,+56 9 5654-3684,Ciencias Sociales y Humanidades,Trabajo Social,4
"Armando Iván, Díaz Vásquez",M,23,20.519.684-1,a.díaz@usach.cl,Universidad de Santiago de Chile,+56 9 4262-3981,Ciencias de la Salud,Odontología,4
"Rafael Pedro, Osorio Bravo",M,20,20.202.472-7,rafael.o15@ug.uchile.cl,Universidad de Chile,+56 9 5377-4967,Ciencias de la Salud,Kinesiología,4
"Leonardo Leandro, Palma Reyes",M,26,19.137.299-5,leonardo.p22@ug.uchile.cl,Universidad de Chile,+56 9 5935-0377,Ingeniería y Tecnología,Ingeniería Civil,5
"Kelvin Flavio, Hernández Figueroa",M,22,20.119.455-5,k.hernández29@ug.uchile.cl,Universidad de Chile,+56 9 5284-9167,Ciencias Sociales y Humanidades,Psicología,2
"Jorge Javier, Vargas Fuentes",M,23,20.188.198-7,j.vargas@ug.uchile.cl,Universidad de Chile,+56 9 7619-9071,Ingeniería y Tecnología,Ingeniería Civil Mecánica,4
"Daniela Ana, Carrasco Toro",F,20,20.853.555-3,d.carrasco43@userena.cl,Universidad de La Serena,+56 9 3387-7290,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,4
"Jorge Manuel, Gómez Carvajal",M,21,20.810.288-6,j.gómez@userena.cl,Universidad de La Serena,+56 9 9552-1911,Ciencias de la Salud,Medicina,4
"Jacinto Cristián, Cáceres Ramírez",M,27,19.126.668-4,jacinto.cáceres@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 7877-7615,Ciencias Sociales y Humanidades,Derecho,6
"Sebastián Guillermo, Cáceres Donoso",M,28,18.491.437-3,sebastián.c86@ug.uchile.cl,Universidad de Chile,+56 9 4905-3423,Ciencias de la Salud,Odontología,8
"Pedro Francisco, Catalán Garrido",M,25,19.833.684-4,p.catalán@ug.uchile.cl,Universidad de Chile,+56 9 5456-3249,Arte y Diseño,Arquitectura,6
"Nora Daniela, Guzmán Donoso",F,29,18.788.722-3,n.guzmán82@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0029-7448,Ciencias Sociales y Humanidades,Psicología,6
"Renata Romina, Reyes Baeza",F,24,19.504.843-8,renata.r50@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0133-9558,Arte y Diseño,Diseño Gráfico,6
"Delfina Ana, Mendoza Sanchez",F,23,20.304.959-4,d.mendoza78@ug.uchile.cl,Universidad de Chile,+56 9 1521-5888,Ciencias Sociales y Humanidades,Sociología,4
"Rubén Nemesio, Muñoz Vásquez",M,20,20.240.416-K,rubén.m3@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 3592-3863,Ingeniería y Tecnología,Ingeniería Civil Mecánica,4
"Renato Armando, Arancibia Villanueva",M,26,19.763.656-3,r.arancibia77@puc.cl,Pontificia Universidad Católica de Chile,+56 9 1634-4603,Ciencias de la Salud,Medicina,4
"Ximena Delfina, Palma Cabrera",F,25,19.587.116-0,x.palma48@udp.cl,Universidad Diego Portales,+56 9 6537-6584,Ingeniería y Tecnología,Ingeniería Civil en Computación,5
"Raquel Antonia, Arancibia Pizarro",F,19,21.833.600-6,r.arancibia44@usach.cl,Universidad de Santiago de Chile,+56 9 0811-2190,Ingeniería y Tecnología,Ingeniería Civil,2
"Jacinto Rubén, Campos Cádiz",M,28,18.741.597-4,j.campos@userena.cl,Universidad de La Serena,+56 9 2542-4603,Ingeniería y Tecnología,Ingeniería Civil Mecánica,8
"Javiera María, Fuentes Fernández",F,26,19.959.437-9,j.fuentes46@ug.uchile.cl,Universidad de Chile,+56 9 5492-5204,Ingeniería y Tecnología,Ingeniería Civil,5
"Zaqueo Diego, Villanueva Pavez",M,23,20.008.470-1,z.villanueva6@puc.cl,Pontificia Universidad Católica de Chile,+56 9 9585-9306,Ciencias Naturales,Biología,2
"Lucía Adriana, Pavez Toro",F,21,20.332.525-2,lucía.pavez@userena.cl,Universidad de La Serena,+56 9 4446-0278,Ciencias Sociales y Humanidades,Sociología,2
"Vanessa Renata, Muñoz Mendoza",F,26,19.342.921-1,vanessa.muñoz@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 3741-9728,Ciencias de la Salud,Odontología,4
"Martín Víctor, Cabrera Oyarzún",M,22,20.727.911-6,martín.c68@utfsm.cl,Universidad Técnica Federico Santa María,+56 9 1794-8148,Ingeniería y Tecnología,Ingeniería Civil en Computación,4
"Emiliana Ángela, Vargas Romero",F,25,19.882.198-4,e.vargas61@puc.cl,Pontificia Universidad Católica de Chile,+56 9 6821-5150,Ciencias Sociales y Humanidades,Trabajo Social,6
"Franco Álvaro, Medina Toledo",M,21,20.695.327-4,f.medina99@ug.uchile.cl,Universidad de Chile,+56 9 9331-1258,Ciencias Sociales y Humanidades,Derecho,3
"Tatiana Ignacia, Sandoval Catalán",F,21,20.147.874-7,tatiana.sandoval@ug.uchile.cl,Universidad de Chile,+56 9 7249-1562,Ciencias de la Salud,Kinesiología,4
"Raquel Paulina, Oyarzún Catalán",F,27,19.035.368-0,raquel.o85@ug.uchile.cl,Universidad de Chile,+56 9 3968-3215,Ciencias Sociales y Humanidades,Derecho,4
"Nemesio Pascual, Sandoval Lara",M,30,18.441.735-0,n.sandoval57@ua.cl,Universidad Austral de Chile,+56 9 1640-8130,Ciencias de la Salud,Medicina,8
"Laura Rocio, Silva Cortés",F,19,21.588.396-4,laura.silva@puc.cl,Pontificia Universidad Católica de Chile,+56 9 2109-9422,Ingeniería y Tecnología,Ingeniería Civil,3
"Renata Romina, Sandoval Lillo",F,26,19.659.758-0,r.sandoval85@ug.uchile.cl,Universidad de Chile,+56 9 8549-6611,Ingeniería y Tecnología,Ingeniería Civil en Computación,6
"Natalia Patricia, Ávila Lara",F,22,20.793.386-2,natalia.á30@ug.uchile.cl,Universidad de Chile,+56 9 0547-0839,Ciencias Sociales y Humanidades,Psicología,3
"Miguel Kelvin, Peña Ovalle",M,24,19.849.447-5,miguel.p31@userena.cl,Universidad de La Serena,+56 9 6691-6219,Ciencias Naturales,Química,5
"Leonardo Nemesio, Flores Ovalle",M,21,20.016.845-8,l.flores@uai.cl,Universidad Adolfo Ibáñez,+56 9 4752-8174,Arte y Diseño,Diseño Gráfico,2
"Wendy Camelia, Flores Flores",F,30,18.329.988-7,wendy.flores@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0091-2053,Ciencias de la Salud,Medicina,6
"Emilio Joaquín, Riquelme Valdés",M,22,20.693.844-7,emilio.r53@uv.cl,Universidad de Valparaíso,+56 9 0085-4848,Ingeniería y Tecnología,Ingeniería Civil Industrial,3
"Paula Montserrat, Orellana Poblete",F,29,18.716.783-5,paula.orellana@ug.uchile.cl,Universidad de Chile,+56 9 2445-2474,Arte y Diseño,Arte Digital,8
"Sebastián Martín, Carrasco Contreras",M,25,19.583.075-2,s.carrasco3@puc.cl,Pontificia Universidad Católica de Chile,+56 9 5838-7843,Ciencias Sociales y Humanidades,Sociología,5
"Waldo Pedro, Lagos Toledo",M,21,20.176.662-3,w.lagos@udec.cl,Universidad de Concepción,+56 9 9657-6425,Ingeniería y Tecnología,Ingeniería Civil,3
"Álvaro Pablo, Herrera Figueroa",M,23,20.003.939-7,á.herrera40@ua.cl,Universidad Austral de Chile,+56 9 7915-4310,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,2
"Emilia Isabel, Valencia Cortés",F,26,19.461.081-4,emilia.v80@udp.cl,Universidad Diego Portales,+56 9 6853-4316,Ingeniería y Tecnología,Ingeniería Civil Mecánica,4
"Roberto Cristián, Álvarez Calderón",M,28,18.795.580-0,r.álvarez@udp.cl,Universidad Diego Portales,+56 9 1537-8841,Ciencias de la Salud,Medicina,8
"Pilar Olga, Donoso Ávila",F,27,19.728.738-8,pilar.d48@uai.cl,Universidad Adolfo Ibáñez,+56 9 0347-0423,Ciencias Naturales,Física,4
"Valerie Emilia, Figueroa Baeza",F,23,20.023.280-6,v.figueroa18@udec.cl,Universidad de Concepción,+56 9 2965-2465,Ciencias de la Salud,Odontología,3
"Yerko Marcelo, Ortega Campos",M,26,19.161.473-K,y.ortega58@userena.cl,Universidad de La Serena,+56 9 2908-4062,Ciencias Sociales y Humanidades,Psicología,4
"Antonia Alejandra, Lillo Valencia",F,24,19.575.635-9,antonia.lillo@puc.cl,Pontificia Universidad Católica de Chile,+56 9 3711-7454,Ingeniería y Tecnología,Ingeniería Civil,5
"Mauricio Mauricio, Donoso Lara",M,18,21.079.281-K,mauricio.d42@ug.uchile.cl,Universidad de Chile,+56 9 2852-1148,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,2
"Laura Sofía, Carrasco Vargas",F,29,18.179.097-9,laura.carrasco@puc.cl,Pontificia Universidad Católica de Chile,+56 9 8518-0695,Ciencias Sociales y Humanidades,Trabajo Social,7
"Franco Héctor, Catalán Carvajal",M,21,20.895.937-9,franco.c49@udec.cl,Universidad de Concepción,+56 9 6954-4988,Ingeniería y Tecnología,Ingeniería Civil Mecánica,3
"Ruth Paulina, Ibarra Vergara",F,29,18.933.788-5,r.ibarra@ug.uchile.cl,Universidad de Chile,+56 9 9727-7471,Ingeniería y Tecnología,Ingeniería Civil,6
"Felipe Alejandro, Pizarro Catalán",M,27,19.492.646-9,felipe.pizarro@ug.uchile.cl,Universidad de Chile,+56 9 0686-7877,Ciencias de la Salud,Medicina,6
"Pedro Kelvin, Garrido Cortés",M,29,18.805.436-1,p.garrido32@userena.cl,Universidad de La Serena,+56 9 4315-3404,Ciencias Naturales,Geología,6
"Valentina Teresa, Hernández Cádiz",F,21,20.482.202-7,v.hernández14@ug.uchile.cl,Universidad de Chile,+56 9 0145-5477,Ingeniería y Tecnología,Ingeniería Civil Eléctrica,3
"Felipe Antonio, Silva Santos",M,21,20.725.236-K,f.silva49@udec.cl,Universidad de Concepción,+56 9 9158-3539,Ciencias Naturales,Geología,2
"Elias Eduardo, Escobar Silva",M,26,19.698.920-7,e.escobar23@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0395-1979,Ingeniería y Tecnología,Ingeniería Civil Mecánica,5
"Víctor Oscar, Martínez Barrios",M,27,19.642.934-0,v.martínez21@puc.cl,Pontificia Universidad Católica de Chile,+56 9 9148-2672,Ciencias Sociales y Humanidades,Psicología,5
"Claudia Bárbara, Venegas Contreras",F,28,18.086.017-3,c.venegas2@userena.cl,Universidad de La Serena,+56 9 0584-9781,Ingeniería y Tecnología,Ingeniería Civil,6
"Joaquín Antonio, Palma Salazar",M,20,20.050.668-5,joaquín.palma@puc.cl,Pontificia Universidad Católica de Chile,+56 9 6233-4455,Ciencias Sociales y Humanidades,Derecho,3
"Luz Emiliana, Torres Castro",F,30,18.993.140-3,l.torres25@udp.cl,Universidad Diego Portales,+56 9 7008-6923,Ciencias Sociales y Humanidades,Derecho,7
"Valentín Juan, Muñoz Moreno",M,20,20.427.611-K,valentín.m90@puc.cl,Pontificia Universidad Católica de Chile,+56 9 6828-6257,Ingeniería y Tecnología,Ingeniería Civil Industrial,2
"Xavier Rafael, Sepúlveda Suárez",M,19,21.027.924-0,xavier.s29@puc.cl,Pontificia Universidad Católica de Chile,+56 9 0620-6788,Ingeniería y Tecnología,Ingeniería Civil Industrial,2
"Hugo Antonio, Fernández Martínez",M,30,18.266.896-4,hugo.f39@ua.cl,Universidad Austral de Chile,+56 9 3520-0063,Ciencias de la Salud,Enfermería,8
"Armando Gonzalo, Flores Valenzuela",M,27,19.677.259-9,a.flores@uai.cl,Universidad Adolfo Ibáñez,+56 9 5748-5455,Ciencias Naturales,Geología,5
